"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"news:CHECKPOINT_SUCCESS","Grestin Checkpoint a Success!","Grestins gränskontroll en succé!"
"news:CHECKPOINT_SUCCESS","Entry Restrictions To Relax, Admit Foreigners","Inresebegränsningar mildras, antar utlänningar"
"news:CHECKPOINT_SUCCESS","Analysts Upbeat","Analytiker optimistiska"
"news:CHECKPOINT_SUCCESS","Increased Trade And Cooperation Predicted","Ökad handel och samarbete förväntas"
"news:FIRST_TERRORISTS","Terrorists Strike At Grestin!","Terrorister slår till vid Grestin!"
"news:FIRST_TERRORISTS","Kolechian Agitators Suspected.","Kolechianska uppviglare misstänkta."
"news:FIRST_TERRORISTS","Checkpoint Lockdown","Gränskontroll skärps"
"news:FIRST_TERRORISTS","More Guards - More Scrutiny","Fler vakter - mer granskning"
"news:BLACKMARKET_EXPLODES","Blackmarket Activity Explodes","Aktivitet på svarta marknaden exploderar"
"news:BLACKMARKET_EXPLODES","Government Blames Lax Immigration Controls","Staten skyller på slappa invandringskontroller"
"news:BLACKMARKET_EXPLODES","Checkpoint Expansion Postponed","Utbyggnad av gränskontroller uppskjutet"
"news:WORKPERMIT_FIRST","Jobs Few, Becoming Fewer","Fåtal jobb, blir färre"
"news:WORKPERMIT_FIRST","Immigrants Taking Jobs From Locals","Invandrare tar jobb från lokalbefolkning"
"news:KOLECHIA_COMPLAINS_SEARCH","Kolechian Leader Files Complaint","Kolechianska ledare lämnar in klagomål"
"news:KOLECHIA_COMPLAINS_SEARCH","Claims Unprovoked Border Searches Violate Rights","Påstår att oprovocerade gränssökningar kränker rättigheter"
"news:AFTER_SUICIDE_BOMBER","Another Attack At Grestin Checkpoint!","Ännu en attack vid Grestinkontrollen!"
"news:AFTER_SUICIDE_BOMBER","Suicide Bomber Slips Through Security","Självmordsbombare slinker igenom säkerheten"
"news:GENERIC_BOMBER","Grestin Suffers Another Border Attack","Grestin drabbas av ännu en gränsattack"
"news:GENERIC_BOMBER","Suicide Bombings Becoming Routine","Självmordbombningar nu rutin"
"news:PIMP_BUSTED","Human Trafficking Ring Shut Down!","Människohandelsring nedstängd!"
"news:PIMP_BUSTED","Grestin Checkpoint Officer Nabs Mastermind","Grestinkontrollman haffar hjärnan bakom"
"news:PIMP_ESCAPED","Dancers At Grestin Club Found Dead!","Dansare vid Grestinklubb hittade döda!"
"news:PIMP_ESCAPED","Newly Immigrated Girls Victims Of Human Trafficking","Nyligen invandrade flickor offer för människohandel"
"news:KILLERATHLETE","Republian Track Star Wanted For Murder!","Republiansk löpstjärna eftersökt för mord!"
"news:KILLERATHLETE","Vince Lestrade's Whereabouts Unknown - Has Likely Fled Republia","Vince Lestrades vistelseort okänd - har förmodligen flytt Republia"
"news:KILLERATHLETE","Vince Lestrade: Profile","Vince Lestrade: Profil"
"news:KILLERATHLETE","Girlfriend Killed In Jealous Rage?","Flickvän dödad i svartsjukedrama?"
"news:KILLERATHLETE_DETAINED","Vince Lestrade Apprehended In Grestin!","Vince Lestrade anhållen i Grestin!"
"news:KILLERATHLETE_DETAINED","Track Champ Looks Quite Guilty Now","Löpmästare ser rätt skyldig ut nu"
"news:KILLERATHLETE_APPROVED","Vince Lestrade Spotted in Arstotzka","Vince Lestrade upptäckt i Arstotzka"
"news:KILLERATHLETE_DENIED","Vince Lestrade Apprehended In Kolechia!","Vince Lestrade anhållen i Kolechia!"
"news:DIPLOMAT_FIRST","Kolechia Sends Top-Level Diplomat","Kolechia skickar toppdiplomat"
"news:DIPLOMAT_FIRST","Normalizing Trade Top Issue","Normalisera handeln huvudfrågan"
"news:BUSTED_SPY","Top-level Kolechian Exposed as Arstotzkan Spy!","Topp-Kolechian avslöjad som Arstotzkansk spion!"
"news:BUSTED_SPY","Missing From Post, Presumed Dead","Saknas från sin post, förmodad död"
"news:BUSTED_SPY_GAVEREALDOCS","Kolechia Cleans House - Eliminates Arstotzkan Spies","Kolechia rensar - Eliminerar Arstotzkanska spioner"
"news:BUSTED_SPY_GAVEREALDOCS","Heroic Agents Compromised","Heroiska agenter äventyrade"
"news:BUSTED_SPY_GAVEFAKEDOCS","Kolechia Cleans House - Attacks Its Own!","Kolechia rensar - Attackerar sina egna!"
"news:BUSTED_SPY_GAVEFAKEDOCS","Round Of Disappearances Blamed On Faulty Evidence","Omgång av försvinnanden skyllda på felaktiga bevis"
"news:FORGERY_NEWS","Theft At Ministry Of Admission!","Stöld på Tillträdesministeriet!"
"news:FORGERY_NEWS","Limited Effects - Few Items Stolen","Begränsade effekter - få föremål stulna"
"news:SECRET_SOCIETY","The History of Arstotzka","Arstotzkas historia"
"news:SECRET_SOCIETY","In Pictures and Words - Mostly Words","I bilder och ord - mestadels ord"
"news:CRIMINAL_ACTIVITY","A Criminal's Safe Haven","En brottslings fristad"
"news:CRIMINAL_ACTIVITY","Arstotzka Earns Dubious Reputation","Arstotzka får tvivelaktigt rykte"
"news:LOSING_GUARDS","Ministries Fight Over Staff","Ministerium bråkar om personal"
"news:LOSING_GUARDS","Qualified Guards, Soldiers In Demand","Kvalificerade vakter, soldater i efterfrågan"
"news:LOSING_GUARDS","Consolidation, Reassignment At Border","Konsolidering, omplacering vid gränsen"
"news:LOSING_GUARDS","Still Safe With Smaller Detail?","Fortfarande säkert med mindre detaljer?"
"news:RUNNER_AFTER_TRANQ","Grestin Incident Highlights Security Risks","Grestin-incident markerar säkerhetsbrister"
"news:RUNNER_AFTER_TRANQ","Further Breaches Predicted","Framtida överträdelser förväntade"
"news:BIKE_ATTACK","Daring Bike Attack At Grestin Checkpoint!","Vågad cykelattack vid Grestinkontrollen!"
"news:BIKE_ATTACK","Extremists Growing Bolder - Grestin Like Magnet","Extremister allt djärvare - Grestin som magnet"
"news:BORDER_TARGETED","Can The Wall Hold?","Kan muren bära?"
"news:BORDER_TARGETED","Border Safety Continually Questioned","Gränssäkerhet fortsatt ifrågasagd"
"news:BIKERUNNER_NEWS","Coordinated Border Breach!","Koordinerad gränsöverträdelse!"
"news:BIKERUNNER_NEWS","Unknown Assailants Swamp Security","Okända angripare undantränger säkerhet"
"news:NOSY_JOURNALIST_APPROVED","Arstotzka's Frail Border","Arstotzkas bräckliga gräns"
"news:NOSY_JOURNALIST_APPROVED","United Fed Reporter Exposes Lax Protocols","Reporter från Förenta Fed. avslöjar slappa protokoll"
"news:NOSY_JOURNALIST_DENIED","Arstotzka's Iron Border","Arstotzkas järngräns"
"news:NOSY_JOURNALIST_DENIED","Int. Media Reveals Entry Visa Bias","Int. media avslöjar partiskhet till inresesvisum"
"news:IDSUPPLEMENT_INTRO","Another Bomber Slips Through!","Ännu en bombare slinker igenom"
"news:IDSUPPLEMENT_INTRO","Immigrant Screening Falls Short","Invandrarkontroll faller kort"
"news:IDSUPPLEMENT_INTRO","M.O.A. Gets New Director","TTM får ny direktör"
"news:IDSUPPLEMENT_INTRO","Stricter Protocols Promised at Border","Striktare protokoll lovas vid gränsen"
"news:WHISTLEBLOWER_SETUP0","Antegria Domestic Spying Exposed!","Inhemskt spioneri i Antegria avslöjas!"
"news:WHISTLEBLOWER_SETUP0","Whistleblower On The Run","Visselblåsare på flykt"
"news:WHISTLEBLOWER_SETUP1","Antegrian Whistleblower Denied Asylum In Republia","Antegriansk visselblåsare avslås asyl i Republia"
"news:WHISTLEBLOWER_SETUP2","Antegrian Whistleblower Turned Away From United Fed","Antegriansk visselblåsare avvisad från Förenta Fed."
"news:WHISTLEBLOWER_COMING","Antegrian Whistleblower Accepted By Arstotzka","Antegrian visselblåsare accepterad av Arstotzka"
"news:WHISTLEBLOWER_COMING","Move Risks Angering Neighbors","Draget riskerar reta grannar"
"news:WHISTLEBLOWER_IN","Antegrian Whistleblower Arrives - Disappears Immediately","Antegriansk visselblåsare anländer - försvinner omgående"
"news:WHISTLEBLOWER_OUT","Antegrian Whistleblower Turned Away - Whereabouts Unknown","Antegriansk visselblåsare avvisad - vistelseort okänd"
"news:IMPOR_UNHAPPY","Impor Protests Unbalanced Trade Restrictions","Impor i protest mot handelsrestriktioner i obalans"
"news:IMPOR_UNHAPPY","Claims Arstotzka Unfairly Taxes Imporian Goods","Hävdar Arstotzkansk orättvis beskattning av Imporianska varor"
"news:IMPOR_SANCTIONS_START","Impor Begins Trade Sanctions!","Impor påbörjar handelssanktioner!"
"news:IMPOR_SANCTIONS_START","Immediately Restricts All Imports From Arstotzka","Restrikterar omedelbart all import från Arstotzka"
"news:IMPOR_SANCTIONS_END","Impor Sanctions End!","Impor-sanktioner slut"
"news:IMPOR_SANCTIONS_END","Over So Fast? What Happened?","Över så fort? Vad hände?"
"news:SURGERY_SETUP","Breakthrough Spinal Surgery Perfected","Banbrytande ryggradskirurgi fulländad"
"news:SURGERY_SETUP","Only Possible With Arstotzkan Expertise","Endast möjlig med Arstotzkansk expertis"
"news:VIRUS_PRIMER","Polio Resurfaces In United Fed","Polio dyker åter igen upp i Förenta Fed."
"news:VIRUS_PRIMER","Isolated Diagnosis Or Something More?","Isolerad diagnos eller något större?"
"news:VIRUS_BAN_UNITED_FED","Full-blown Epidemic Threatens United Fed!","Fullskalig epidemi hotar Förenta Fed!"
"news:VIRUS_BAN_UNITED_FED","Previously Under Control, Polio Back With Vengeance","Tidigare under kontroll, Polio återkommer med vedergällning"
"news:VIRUS_REQUIRE_CERT","Ministry of Health Acts To Protect Citizens","Hälsoministeriet agerar för att skydda medborgare"
"news:VIRUS_REQUIRE_CERT","New Policy, Safeguards At Borders","Ny policy, skyddsåtgärder vid gränserna"
"news:SERIAL_KILLER","Serial Child Killer Escapes United Fed Prison!","Seriebarnmördare flyr från fängelse i Förenta Fed!"
"news:SERIAL_KILLER","Simon Wens: An Arstotzkan Native - Returning Home?","Simon Wens: Arstotzkanskfödd - återvänder hem?"
"news:SERIAL_KILLER_MURDERED","Bloody Scene In Gennistora!","Blodig brottsplats i Gennistora!"
"news:SERIAL_KILLER_MURDERED","Simon Wens Found Dead In Confusing Mess","Simon Wens hittad död i förvirrande röra"
"news:EZIC_ATTACK0","Grestin Metro Halted","Grestinsk tunnelbana stoppad"
"news:EZIC_ATTACK0","Tunnel Cave-in, Hints At Sabotage","Tunnelras, antydan om sabotage"
"news:EZIC_ATTACK1_GIFT","Gov't Headquarters In Paradizna Evacuated!","Statens huvudkvarter i Paradizna evakuerat!"
"news:EZIC_ATTACK1_GIFT","Strange Gas Detected - Staff Safe, Records Missing","Märklig gas upptäckt - personalen säker, register försvunna"
"news:EZIC_ATTACK1_NOGIFT","Head Minister Of Finance Missing!","Huvudfinansministern saknas!"
"news:EZIC_ATTACK1_NOGIFT","Markets React With Fast Selling, Instability","Marknaden reagerar med snabb försäljning, instabilitet"
"news:POISONING","Mysterious Poison Hospitalizes Several!","Mystiskt gift - flera på sjukhus!"
"news:POISONING","Unnamed Immigrant Smuggles Deadly Agent","Icke namngiven invandrare smugglar dödligt medel"
"news:MARKED_DIPLOMAT","Top-Level Talks Called","Toppsamtal utropas"
"news:MARKED_DIPLOMAT","Grestin Territory Remains Dividing Issue","Grestinterritoriet förblir dividerad fråga"
"news:DIPLOMAT_SWAPPED","Kolechians Are Crazy","Kolechianer är galna"
"news:DIPLOMAT_SWAPPED","Bizarre Behavior From Top Negotiator Spoils Talks","Bisarrt beteende från toppförhandlare spolierar samtal"
"news:DIPLOMAT_ORIGINAL","A Tentative Understanding","Ett preliminärt samförstånd"
"news:DIPLOMAT_ORIGINAL","Kolechian Talks Establish Common Ground","Kolechianska samtal fastställer en gemensam grund"
"news:TALKS_BREAK_DOWN","Roadblock To Kolechian Resolution","Vägspärr till Kolechiansk upplösning"
"news:TALKS_BREAK_DOWN","Contested City Drives Wedge","Omtvistade staden splittrar"
"news:BORDER_CLOSING","Grestin Checkpoint Future Uncertain","Grestinkontrollens framtid osäker"
"news:BORDER_CLOSING","Too Open, Too Soon?","För öppen, för snart?"
"text:language_code","en","sv"
"text:language_name","ENGLISH","SVENSKA"
"text:language_author","Author","Torsten Augustsson"
"text:wrap_hyphen","-","-"
"text:created_by","created by Lucas Pope","skapat av Lucas Pope"
"text:papers_please","Papers, please.","Papper, tack."
"text:protocol_violated","Protocol Violated.","Protokollbrott."
"text:unauth_confiscation","Unauthorized passport confiscation","Obehörig passkonfiskering"
"text:missing_reason","Denial reason not given","Orsak till avslag ej given"
"text:citation_warning","WARNING ISSUED - NO PENALTY","VARNING UTFÄRDAD - INGEN PÅFÖLJD"
"text:citation_lastwarning","LAST WARNING - NO PENALTY","SISTA VARNINGEN - INGEN PÅFÖLJD"
"text:citation_penalty","PENALTY ASSESSED - $0 CREDITS","BÖTESSTRAFF UTDÖMT - $0 KREDITER"
"text:border_next","NEXT!","NÄSTA!"
"text:border_bomber","FOR KOLECHIA!","FÖR KOLECHIA!"
"text:border_comeback","COME BACK AT 6AM TOMORROW","KOM TILLBAKA KLOCKAN 6 IMORGON"
"text:border_announce0","ENTRY IS NOT GUARANTEED","INRESA ÄR EJ GARANTERAD"
"text:border_announce1","HAVE YOUR DOCUMENTS READY","HA DINA DOKUMENT REDO"
"text:border_announce2","ARSTOTZKA WELCOMES YOU","ARSTOTZKA VÄLKOMNAR DIG"
"text:border_guardout","OUT!","UT!"
"text:border_elisa","ELISA!","ELISA!"
"text:family_son_budget","SON","SON"
"text:family_wife_budget","WIFE","FRU"
"text:family_niece_budget","NIECE","SYSTERDOTTER"
"text:family_uncle_budget","UNCLE","FARBROR"
"text:family_mil_budget","MIL","SVÄRMOR"
"text:family_son_status","Son","Son"
"text:family_wife_status","Wife","Fru"
"text:family_niece_status","Niece","Systerdotter"
"text:family_uncle_status","Uncle","Farbror"
"text:family_mil_status","Mother-in-law","Svärmor"
"text:family_son_message","son","son"
"text:family_wife_message","wife","fru"
"text:family_niece_message","niece","systerdotter"
"text:family_uncle_message","uncle","farbror"
"text:family_mil_message","mother-in-law","svärmor"
"text:night_endof","END OF","SLUTET AV"
"text:night_day","DAY $0","DAG $0"
"text:family_verysick_1","Your $0 will die without medicine.","Din $0 kommer dö utan medicin."
"text:family_verysick_many","Very sick family members will die without medicine.","Mycket sjuka familjemedlemmar kommer dö utan medicin."
"text:family_sick_1","Your $0 is sick and needs medicine.","Din $0 är sjuk och behöver medicin."
"text:family_sick_many","Your family needs medicine.","Din familj behöver medicin."
"text:family_died_1","Your $0 has died.","Din $0 har dött."
"text:family_died_2","Your $0 and $1 have died.","Din $0 och $1 har dött."
"text:family_died_3","Your $0, $1, and $2 have died.","Din $0, $1 och $2 har dött."
"text:family_died_4","Your $0, $1, $2, and $3 have died.","Din $0, $1, $2 och $3 har dött."
"text:family_died_5","Your $0, $1, $2, $3, and $4 have died.","Din $0, $1, $2, $3 och $4 har dött."
"text:family_escape_with_0","You leave behind everything.","Du lämnar allt bakom dig."
"text:family_escape_with_1","You gather your $0 to leave for Obristan.","Du hämtar din $0 för att åka till Obristan."
"text:family_escape_with_2","You gather your $0 and $1 to leave for Obristan.","Du samlar din $0 och $1 för att åka till Obristan."
"text:family_escape_with_3","You gather your $0, $1, and $2 to leave for Obristan.","Du samlar din $0, $1 och $2 för att åka till Obristan."
"text:family_escape_with_4","You gather your $0, $1, $2, and $3 to leave for Obristan.","Du samlar din $0, $1, $2 och $3 för att åka till Obristan."
"text:family_escape_with_5","You gather your $0, $1, $2, $3, and $4 to leave for Obristan.","Du samlar din $0, $1, $2, $3 och $4 för att åka till Obristan."
"text:family_escape_without_1","Your $0 prepares to return to Nirsk.","Din $0 förbereder sig för att återvända till Nirsk."
"text:family_escape_without_2","Your $0 and $1 prepare to return to Nirsk.","Din $0 och $1 förbereder sig för att återvända till Nirsk."
"text:family_escape_without_3","Your $0, $1, and $2 prepare to return to Nirsk.","Din $0, $1 och $2 förbereder sig för att återvända till Nirsk."
"text:family_escape_without_4","Your $0, $1, $2, and $3 prepare to return to Nirsk.","Din $0, $1, $2 och $3 förbereder sig för att återvända till Nirsk."
"text:family_escape_without_5","Your $0, $1, $2, $3, and $4 prepare to return to Nirsk.","Din $0, $1, $2, $3 och $4 förbereder sig för att återvända till Nirsk."
"text:family_flee_final_0","Obristan Above All","Obristan Över Allt"
"text:family_flee_final_1","The safety of your $0 is unknown.","Din $0s säkerhet är okänd."
"text:family_flee_final_2","The safety of your $0 and $1 is unknown.","Din $0 och $1s säkerhet är okänd."
"text:family_flee_final_3","The safety of your $0, $1, and $2 is unknown.","Din $0, $1 och $2s säkerhet är okänd."
"text:family_flee_final_4","The safety of your $0, $1, $2, and $3 is unknown.","Din $0, $1, $2 och $3s säkerhet är okänd."
"text:family_flee_final_5","The safety of your $0, $1, $2, $3, and $4 is unknown.","Din $0, $1, $2, $3 och $4s säkerhet är okänd."
"text:budget_savings","SAVINGS","BESPARINGAR"
"text:budget_salary","SALARY ($0)","LÖN ($0)"
"text:budget_penalties","PENALTIES ($0)","BÖTESSTRAFF ($0)"
"text:budget_bribes","BRIBES","MUTOR"
"text:budget_rent","RENT","HYRA"
"text:budget_food","FOOD","MAT"
"text:budget_heat","HEAT","VÄRME"
"text:budget_medicine","MEDICINE ($0)","MEDICIN ($0)"
"text:budget_sleep","SLEEP","SÖMN"
"text:budget_escape","ESCAPE","FLYKT"
"text:menu_back","BACK","BAKÅT"
"text:confirm_ok","OKAY","OK"
"text:confirm_cancel","CANCEL","AVBRYT"
"text:menu_mainmenu","MAIN MENU","HUVUDMENY"
"text:menu_resume","RESUME","FORTSÄTT"
"text:menu_quit","QUIT","AVSLUTA"
"text:menu_done","DONE","KLAR"
"text:menu_story","STORY","STORY"
"text:menu_endless","ENDLESS","OÄNDLIGT"
"text:menu_play","PLAY","SPELA"
"text:menu_fullscreen","Fullscreen","Fullskärm"
"text:menu_nudity","Nudity","Nakenhet"
"text:menu_easy","Easy Mode","Enkelt läge"
"text:menu_music","Music","Musik"
"text:menu_sound","Sound","Ljud"
"text:menu_dateformat","Date Format","Datumformat"
"text:menu_language","Language","Språk"
"text:menu_easytip","+ 20 credits per day","+ 20 krediter per dag"
"text:menu_stats","STATS","STATISTIK"
"text:menu_next","NEXT","NÄSTA"
"text:menu_walktowork","WALK TO WORK","GÅ TILL JOBBET"
"text:menu_paused","PAUSED","PAUSAD"
"text:menu_settings","SETTINGS","INSTÄLLNINGAR"
"text:menu_credits","CREDITS","KREDITER"
"text:menu_checkforupdates","CHECK FOR UPDATES","MARKERA FÖR UPPDATERINGAR"
"text:stats_text","Played for $time
$processed travelers processed
$approved approved
$denied denied
$detained detained
$citations citations earned
$stamps stamps applied
Ending $endnum of $endtotal","Spelat i $time
$processed resenärer behandlade
$approved godkända
$denied avslagna
$detained kvarhållna
$citations citeringar förtjänade
$stamps stämplar använda
Slut $endnum av $endtotal"
"text:steam_noinit","STEAM CONNECTION FAILED

If this problem persists, re-install the Steam client.","STEAM-KOPPLING MISSLYCKADES

Om problemet kvarstår, installera om Steam-klienten."
"text:steam_restartfailed","STEAM RESTART FAILED

If this problem persists, re-install the Steam client.","STEAM-OMSTART MISSLYCKADES

Om problemet kvarstår, installera om Steam-klienten."
"text:steam_noconnect","STEAM CONNECTION FAILED

The game will attempt to restart through the Steam client.","STEAM-KOPPLING MISSLYCKADES

Spelet kommer försöka starta om genom Steam-klienten."
"text:steam_restart","RESTART","STARTA OM"
"text:load_title","Select day to continue or start a new game","Välj dag att fortsätta eller starta ett nytt spel"
"text:load_confirm_delete_single","Delete this day $0 save?

There is no undo.","Ta bort denna dag $0-sparning?

Detta går inte att ångra."
"text:load_confirm_delete_multi","Delete this save branch from day $0 to day $1?

There is no undo.","Ta bort denna sparförgreningfrån dag $0 till dag $1?

Detta går inte att ångra."
"text:load_delete","DELETE","TA BORT"
"text:load_confirm_full","Save tracks full.

Continue from a right-most save or delete a save branch to free up a track.","Sparspår fullt.

Fortsätt från sparningen längst från höger eller ta bort en sparförgrening för att frigöra ett spår."
"text:load_summary","Day $day
""$news""

$savings credits, $family family members,
$tokens tokens, apartment $apt","Dag $day
""$news""

$savings krediter, $family familjemedlemmar,
$tokens token, lägenhet $apt"
"text:load_continue","CONTINUE","FORTSÄTT"
"text:emotion_happy","HAPPY","GLAD"
"text:emotion_ok","OK","OK"
"text:emotion_sad","SAD","LEDSEN"
"text:emotion_cold","COLD","KALL"
"text:emotion_sick","SICK","SJUK"
"text:emotion_verysick","VERY SICK","MYCKET SJUK"
"text:emotion_dead","DEAD","DÖD"
"text:emotion_hungry","HUNGRY","HUNGRIG"
"text:load_latest","LATEST","SENASTE"
"text:entry_approved","ENTRY GRANTED","INRESA BEVILJAS"
"text:entry_denied","ENTRY DENIED","INRESA AVSLÅS"
"text:stamp_approved","APPROVED","BEVILJAS"
"text:stamp_denied","DENIED","AVSLÅS"
"text:stamp_reason","REASON","ORSAK"
"text:booth_dragdocs","DRAG DOCUMENTS HERE","DRA DOKUMENT HIT"
"text:booth_highlight","HIGHLIGHT DISCREPANCIES","MARKERA DISKREPANSER"
"text:booth_discrepancy","DISCREPANCY
DETECTED","DISKREPANS
DETEKTERAD"
"text:booth_interrogate","INTERROGATE","FÖRHÖR"
"text:booth_matching","MATCHING
DATA","MATCHANDE
DATA"
"text:booth_nocorrelation","NO
CORRELATION","INGEN
KORRELATION"
